DistrictName,DistrictId,Constituency,CandidateName,PartyId,PartyName
Taplejung,1,1,Surya Man Gurung,2,Nepali Congress
Taplejung,1,1,Surendra Kumar Karki,6,Communist Party of Nepal (Maoists)
Taplejung,1,1,Til Kumar Maynangbo Limbu,1,Communist Party of Nepal  (UML)
Taplejung,1,1,Kirti Man Maden,66,Federal Democratic National Forum
Taplejung,1,1,Amir Maden,13,Rastriya Prajatantra Party Nepal
Taplejung,1,1,Bodh Raj Gurung,4,Rastriya Prajatantra Party
Taplejung,1,1,Padam Bahadur Prakash Angden,12,Rastriya Janamukti Party
Taplejung,1,1,Prithvi Narayan Dokhim,3,Rastriya Janshakti Party
Taplejung,1,2,Damber Dhoj Tumbahamphe,1,Communist Party of Nepal  (UML)
Taplejung,1,2,Tanka Prasad Angbuhang (Limbu),6,Communist Party of Nepal (Maoists)
Taplejung,1,2,Pratap Prakash Hangam,2,Nepali Congress
Taplejung,1,2,Surya Kumar Maden,4,Rastriya Prajatantra Party
Taplejung,1,2,Hom Prasad Tumbahamphe,66,Federal Democratic National Forum
Taplejung,1,2,Narayan Prasad Banem (Limbu),5,Janamorcha Nepal
Taplejung,1,2,Indra Kumar Limbu,12,Rastriya Janamukti Party
Taplejung,1,2,Narajung Angbuhang,3,Rastriya Janshakti Party
Taplejung,1,2,Fiparaj Samokham (Limbu),13,Rastriya Prajatantra Party Nepal
Panchthar,2,1,Purna Kumar Serma,2,Nepali Congress
Panchthar,2,1,Ganesh Kumar Kambang,1,Communist Party of Nepal  (UML)
Panchthar,2,1,Shree Prasad Jabegu,6,Communist Party of Nepal (Maoists)
Panchthar,2,1,Mishra Lingden,66,Federal Democratic National Forum
Panchthar,2,1,Man Bahadur Jabegu,4,Rastriya Prajatantra Party
Panchthar,2,1,Yahang Bir Kerung,15,Communist Party of Nepal (M.L.)
Panchthar,2,1,Krishna Prasad Katuwal,14,Communist Party of Nepal (Unified)
Panchthar,2,1,Bhim Bahadur Gurung,63,Mongol National Organization
Panchthar,2,1,Hem Bahadur Limbu,12,Rastriya Janamukti Party
Panchthar,2,2,Damber Singh Sambahamphe,1,Communist Party of Nepal  (UML)
Panchthar,2,2,Bhisma Raj Aangdambe,2,Nepali Congress
Panchthar,2,2,Amar Singh Thapa,6,Communist Party of Nepal (Maoists)
Panchthar,2,2,Kumar Lingden,66,Federal Democratic National Forum
Panchthar,2,2,Padam Sundar Lawati,13,Rastriya Prajatantra Party Nepal
Panchthar,2,2,Din Nath Ghimire,15,Communist Party of Nepal (M.L.)
Panchthar,2,2,Bishnu Kumar Rai,5,Janamorcha Nepal
Panchthar,2,2,Min Prasad Chemjong,4,Rastriya Prajatantra Party
Panchthar,2,2,Bir Man Nembang,99,Independent
Panchthar,2,2,Bhagirath Limbu Chemjong,12,Rastriya Janamukti Party
Ilam,3,1,Jhal Nath Khanal,1,Communist Party of Nepal  (UML)
Ilam,3,1,Benup Raj Prasai,2,Nepali Congress
Ilam,3,1,Surya Prakash Wala (Rai),6,Communist Party of Nepal (Maoists)
Ilam,3,1,Lila Devi Shrestha (Sherpa),4,Rastriya Prajatantra Party
Ilam,3,1,Dilip Kumar Rai,63,Mongol National Organization
Ilam,3,1,Bikram Chemjong,66,Federal Democratic National Forum
Ilam,3,1,Lok Narayan Subedi,22,Communist Party of Nepal (United Marxist)
Ilam,3,1,Chatur Man Limbu,3,Rastriya Janshakti Party
Ilam,3,1,Tirtha Raj Acharya,99,Independent
Ilam,3,1,Khadga Bahadur Magar,99,Independent
Ilam,3,1,Farsu Kumar Rai,99,Independent
Ilam,3,1,Khadga Bahadur Rai,99,Independent
Ilam,3,2,Subash Nembang,1,Communist Party of Nepal  (UML)
Ilam,3,2,Keshav Thapa,2,Nepali Congress
Ilam,3,2,Harka Bahadur Lawati,6,Communist Party of Nepal (Maoists)
Ilam,3,2,Uttam Kumar Yonghang,66,Federal Democratic National Forum
Ilam,3,2,Ganesh Bahadur Rai,63,Mongol National Organization
Ilam,3,2,Dil Bahadur Limbu,4,Rastriya Prajatantra Party
Ilam,3,2,Rewot Raj Puri (Gagan),14,Communist Party of Nepal (Unified)
Ilam,3,2,Prem Lal Chamlagai,3,Rastriya Janshakti Party
Ilam,3,2,Pancha Narayan Limbu,22,Communist Party of Nepal (United Marxist)
Ilam,3,2,Basant Kumar Rai,99,Independent
Ilam,3,2,Dilip Chamling,13,Rastriya Prajatantra Party Nepal
Ilam,3,3,Kul Bahadur Gurung,2,Nepali Congress
Ilam,3,3,Dharma Prasad Uprati,1,Communist Party of Nepal  (UML)
Ilam,3,3,Sarita Rai,6,Communist Party of Nepal (Maoists)
Ilam,3,3,Gopal Gurung,63,Mongol National Organization
Ilam,3,3,Dil Bahadur Gurung,4,Rastriya Prajatantra Party
Ilam,3,3,Bhumi Prasad Dhungana,22,Communist Party of Nepal (United Marxist)
Ilam,3,3,Sagar Kumar Acharya,3,Rastriya Janshakti Party
Ilam,3,3,Dharma Raj Nembang,13,Rastriya Prajatantra Party Nepal
Ilam,3,3,Nabin Kumar Guragain,10,Nepal Rastriya Bikas Party
Jhapa,4,1,Dharma Prasad Ghimire,6,Communist Party of Nepal (Maoists)
Jhapa,4,1,Narendra Bikram Nembang,2,Nepali Congress
Jhapa,4,1,Naresh Kharel,1,Communist Party of Nepal  (UML)
Jhapa,4,1,Badri Prasad Upreti,15,Communist Party of Nepal (M.L.)
Jhapa,4,1,Shanti Lal Dhimal,63,Mongol National Organization
Jhapa,4,1,Man Bahadur Sawa Limbu,66,Federal Democratic National Forum
Jhapa,4,1,Om Prakash Mishra,4,Rastriya Prajatantra Party
Jhapa,4,1,Shambu Narayan Jha,24,"Madhesi People's Rights Forum, Nepal"
Jhapa,4,1,Hari Lama Tamang,8,"Samajwadi Prajatantrik. Janata Party, Nepal"
Jhapa,4,1,Chitra Bahadur Acharya,3,Rastriya Janshakti Party
Jhapa,4,1,Ram Sufal Kamati,61,Sadhvawana Party
