District,Zone,Geographical Region,Development Region,Constituency,ElectionOffier,Name,Post,Institution
Taplejung,Mechi,Mountain,Eastern,१,मु.नि.अ.,कोष कुमार नेम्वाé,मा.जिल्ला न्यायाधीश,ताप्लेजु~ जिल्ला अदालत
Taplejung,Mechi,Mountain,Eastern,२,नि.अ.,केशव प्रसाद ३िमिरे,उप रजिष्ट्रार,विशेष अदालत
Panchthar,Mechi,Hill,Eastern,१,मु.नि.अ.,माधव प्रसाद अधिकारी,मा.जिल्ला न्यायाधीश,पाचथर जिल्ला अदालत
Panchthar,Mechi,Hill,Eastern,२,नि.अ.,हरिश्चन्द्र इञ्नाम,इजलास अधिकृत,सर्वोच्च अदालत
Ilam,Mechi,Hill,Eastern,१,नि.अ.,मनोज के.सी,उप रजिष्ट्रार,पुनरावेदन अदालत इलाम
Ilam,Mechi,Hill,Eastern,२,नि.अ.,बाबुकाजी वानिया,कानून अधिकृत,महिला वालवालिका तथा समाजकल्या०ा मन्त्रालय
Ilam,Mechi,Hill,Eastern,३,मु.नि.अ.,कृष्०ा प्रसाद सुवेदी,मा.जिल्ला न्यायाधीश,इलाम जिल्ला अदालत
Jhapa,Mechi,Terai,Eastern,१,नि.अ.,दीपक खनाल,मा.अतिरिक्त जिल्ला न्यायाधीश,झापा जिल्ला अदालत
Jhapa,Mechi,Terai,Eastern,२,नि.अ.,ध्रुवराज त्रिपा७ी,इजलास अधिकृत,सर्वोच्च अदालत
Jhapa,Mechi,Terai,Eastern,३,मु.नि.अ.,रमेश कुमार खत्री,मा.जिल्ला न्यायाधीश,झापा जिल्ला अदालत
Jhapa,Mechi,Terai,Eastern,४,नि.अ.,अम्बिका प्रसाद निरौला,इजलास अधिकृत,सर्वोच्च अदालत
Jhapa,Mechi,Terai,Eastern,५,नि.अ.,खिमानन्द भुसाल,कानून अधिकृत,श्रम तथा रोजगार मन्त्रालय
Jhapa,Mechi,Terai,Eastern,६,नि.अ.,फ०िान्द्र प्रसाद पराजुली,इजलास अधिकृत,सर्वोच्च अदालत
Jhapa,Mechi,Terai,Eastern,७,नि.अ.,पूर्०ोश्वर प्रसाद उपाध्याय,मा.अतिरिक्त जिल्ला न्यायाधीश,झापा जिल्ला अदालत
Sankhuwasabha,Kosi,Mountain,Eastern,१,मु.नि.अ.,६ीकाराम आचार्य,मा.जिल्ला न्यायाधीश,संखुवासभा जिल्ला अदालत
Sankhuwasabha,Kosi,Mountain,Eastern,२,नि.अ.,भीमकुमार श्रेष्७,रजिष्ट्रार,वैदेशिक रोजगार न्यायाधिकर०ा
Terhathum,Kosi,Hill,Eastern,१,मु.नि.अ.,मातृका प्रसाद आचार्य,मा.जिल्ला न्यायाधीश,तेह्रथुम जिल्ला अदालत
Bhojpur,Kosi,Hill,Eastern,१,नि.अ.,रोशन गजुरेल,जिल्ला न्यायाधिवक्ता,जिल्ला सरकारी वकिल का. रौतह६
Bhojpur,Kosi,Hill,Eastern,२,मु.नि.अ.,कृपासुर कार्की,मा.जिल्ला न्यायाधीश,भोजपुर जिल्ला अदालत
Dhankuta,Kosi,Hill,Eastern,१,मु.नि.अ.,युवराज गौतम,मा.जिल्ला न्यायाधीश,धनकु६ा जिल्ला अदालत
Dhankuta,Kosi,Hill,Eastern,२,नि.अ.,नाराय०ा प्रसाद दाहाल,उप सचिव,न्यायपरिषद सचिवालय
Morang,Kosi,Terai,Eastern,१,नि.अ.,दीपक कुुमार दाहाल,मा.अतिरिक्त जिल्ला न्यायाधीश,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,२,नि.अ.,शंकर खत्री,जिल्ला न्यायाधिवक्ता,जिल्ला सरकारी वकिल का. मोरñ
Morang,Kosi,Terai,Eastern,३,नि.अ.,ईन्द्र कुमार चोñ६ेन्ली,मा.अतिरिक्त जिल्ला न्यायाधीश,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,४,नि.अ.,भिष्मराज प्रसाई,श्रेष्तेदार,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,५,नि.अ.,राजेन्द कुमार श्रेष्७,मा.अतिरिक्त जिल्ला न्यायाधीश,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,६,मु.नि.अ.,शेखर प्रसाद पौ८ेल,मा.जिल्ला न्यायाधीश,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,७,नि.अ.,ऋषिराम निरौला,मा.अतिरिक्त जिल्ला न्यायाधीश,मोरñजिल्ला अदालत
Morang,Kosi,Terai,Eastern,८,नि.अ.,दुर्गा बहादुर भुसाल,श्रेष्तेदार,सिराहा जिल्ला अदालत
Morang,Kosi,Terai,Eastern,९,नि.अ.,शान्ति प्रसाद आचार्य,उप रजिष्ट्रार,पुनरावेदन अदालत विरा६नगर
Sunsari,Kosi,Terai,Eastern,१,नि.अ.,नाराय०ा प्रसाद पराजुली,मा.अतिरिक्त जिल्ला न्यायाधीश,सुनसरी जिल्ला अदालत
