District,Zone,Geographical Region,Development Region,VDC_Municipality,Ward_Number,Constituency
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,1,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,2,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,3,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,4,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,5,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,6,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,7,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,8,1
Arghakhanchi,Lumbini,Hill,Western,वल्कोट,9,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,1,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,2,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,3,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,4,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,5,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,6,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,7,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,8,1
Arghakhanchi,Lumbini,Hill,Western,चिदिका,9,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,1,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,2,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,3,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,4,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,5,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,6,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,7,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,8,1
Arghakhanchi,Lumbini,Hill,Western,केरूङ्गा,9,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,1,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,2,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,3,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,4,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,5,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,6,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,7,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,8,1
Arghakhanchi,Lumbini,Hill,Western,वाङ्ला,9,1
Baglung,Dhawalagiri,Hill,Western,राङखानी,6,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,7,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,8,2
Baglung,Dhawalagiri,Hill,Western,राङखानी,9,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,1,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,2,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,3,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,4,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,5,2
Baglung,Dhawalagiri,Hill,Western,सर्कुवा,6,2
