,historical_date,year,codingstart,Indicator,Code index,Indices,Index,Value
0,1900-01-01,1900,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
1,1900-01-01,1900,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
2,1900-01-01,1900,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
3,1901-01-01,1901,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
4,1901-01-01,1901,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
5,1901-01-01,1901,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
6,1902-01-01,1902,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
7,1902-01-01,1902,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
8,1902-01-01,1902,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
9,1903-01-01,1903,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
10,1903-01-01,1903,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
11,1903-01-01,1903,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
12,1904-01-01,1904,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
13,1904-01-01,1904,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
14,1904-01-01,1904,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
15,1905-01-01,1905,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
16,1905-01-01,1905,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
17,1905-01-01,1905,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
18,1906-01-01,1906,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
19,1906-01-01,1906,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
20,1906-01-01,1906,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
21,1907-01-01,1907,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
22,1907-01-01,1907,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
23,1907-01-01,1907,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
24,1908-01-01,1908,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
25,1908-01-01,1908,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
26,1908-01-01,1908,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
27,1909-01-01,1909,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
28,1909-01-01,1909,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
29,1909-01-01,1909,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
30,1910-01-01,1910,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
31,1910-01-01,1910,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
32,1910-01-01,1910,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
33,1911-01-01,1911,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
34,1911-01-01,1911,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
35,1911-01-01,1911,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
36,1912-01-01,1912,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
37,1912-01-01,1912,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
38,1912-01-01,1912,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
39,1913-01-01,1913,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
40,1913-01-01,1913,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
41,1913-01-01,1913,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
42,1914-01-01,1914,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
43,1914-01-01,1914,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
44,1914-01-01,1914,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
45,1915-01-01,1915,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
46,1915-01-01,1915,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
47,1915-01-01,1915,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
48,1916-01-01,1916,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
49,1916-01-01,1916,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
50,1916-01-01,1916,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
51,1917-01-01,1917,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
52,1917-01-01,1917,1900,v2x_polyarchy,codehigh,Democracy,Electoral democracy index,0.0251092613
53,1917-01-01,1917,1900,v2x_polyarchy,codelow,Democracy,Electoral democracy index,0.008787849
54,1918-01-01,1918,1900,v2x_polyarchy,,Democracy,Electoral democracy index,0.0169485554
