District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Taplejung,Mechi,Mountain,Eastern,2047,1990,78883
Taplejung,Mechi,Mountain,Eastern,2050,1993,88051
Taplejung,Mechi,Mountain,Eastern,2056,1999,92537
Taplejung,Mechi,Mountain,Eastern,2057,2000,98112
Taplejung,Mechi,Mountain,Eastern,2058,2001,98817
Taplejung,Mechi,Mountain,Eastern,2059,2002,99059
Taplejung,Mechi,Mountain,Eastern,2060,2003,98727
Taplejung,Mechi,Mountain,Eastern,2061,2004,98491
Taplejung,Mechi,Mountain,Eastern,2062,2005,99263
Taplejung,Mechi,Mountain,Eastern,2063,2006,107714
Panchthar,Mechi,Hill,Eastern,2047,1990,111252
Panchthar,Mechi,Hill,Eastern,2050,1993,118554
Panchthar,Mechi,Hill,Eastern,2056,1999,126206
Panchthar,Mechi,Hill,Eastern,2057,2000,134910
Panchthar,Mechi,Hill,Eastern,2058,2001,135639
Panchthar,Mechi,Hill,Eastern,2059,2002,136170
Panchthar,Mechi,Hill,Eastern,2060,2003,137472
Panchthar,Mechi,Hill,Eastern,2061,2004,137593
Panchthar,Mechi,Hill,Eastern,2062,2005,138151
Panchthar,Mechi,Hill,Eastern,2063,2006,155983
Ilam,Mechi,Hill,Eastern,2047,1990,128747
Ilam,Mechi,Hill,Eastern,2050,1993,140445
Ilam,Mechi,Hill,Eastern,2056,1999,160217
Ilam,Mechi,Hill,Eastern,2057,2000,170689
Ilam,Mechi,Hill,Eastern,2058,2001,171498
Ilam,Mechi,Hill,Eastern,2059,2002,172434
Ilam,Mechi,Hill,Eastern,2060,2003,174611
Ilam,Mechi,Hill,Eastern,2061,2004,176673
Ilam,Mechi,Hill,Eastern,2062,2005,181223
Ilam,Mechi,Hill,Eastern,2063,2006,212055
Jhapa,Mechi,Terai,Eastern,2047,1990,353689
Jhapa,Mechi,Terai,Eastern,2050,1993,392209
Jhapa,Mechi,Terai,Eastern,2056,1999,450634
Jhapa,Mechi,Terai,Eastern,2057,2000,489085
Jhapa,Mechi,Terai,Eastern,2058,2001,504555
Jhapa,Mechi,Terai,Eastern,2059,2002,515311
Jhapa,Mechi,Terai,Eastern,2060,2003,533156
Jhapa,Mechi,Terai,Eastern,2061,2004,535501
Jhapa,Mechi,Terai,Eastern,2062,2005,551117
Jhapa,Mechi,Terai,Eastern,2063,2006,628666
Sankhuwasabha,Kosi,Mountain,Eastern,2047,1990,95781
Sankhuwasabha,Kosi,Mountain,Eastern,2050,1993,102228
Sankhuwasabha,Kosi,Mountain,Eastern,2056,1999,107128
Sankhuwasabha,Kosi,Mountain,Eastern,2057,2000,113443
Sankhuwasabha,Kosi,Mountain,Eastern,2058,2001,113847
Sankhuwasabha,Kosi,Mountain,Eastern,2059,2002,114599
Sankhuwasabha,Kosi,Mountain,Eastern,2060,2003,115695
Sankhuwasabha,Kosi,Mountain,Eastern,2061,2004,115608
Sankhuwasabha,Kosi,Mountain,Eastern,2062,2005,117149
Sankhuwasabha,Kosi,Mountain,Eastern,2063,2006,132118
Terhathum,Kosi,Hill,Eastern,2047,1990,67326
Terhathum,Kosi,Hill,Eastern,2050,1993,72273
Terhathum,Kosi,Hill,Eastern,2056,1999,74392
Terhathum,Kosi,Hill,Eastern,2057,2000,80493
Terhathum,Kosi,Hill,Eastern,2058,2001,81204
Terhathum,Kosi,Hill,Eastern,2059,2002,81909
Terhathum,Kosi,Hill,Eastern,2060,2003,81523
Terhathum,Kosi,Hill,Eastern,2061,2004,81692
Terhathum,Kosi,Hill,Eastern,2062,2005,81887
Terhathum,Kosi,Hill,Eastern,2063,2006,90935
Bhojpur,Kosi,Hill,Eastern,2047,1990,133597
Bhojpur,Kosi,Hill,Eastern,2050,1993,142281
Bhojpur,Kosi,Hill,Eastern,2056,1999,145940
Bhojpur,Kosi,Hill,Eastern,2057,2000,153862
Bhojpur,Kosi,Hill,Eastern,2058,2001,154937
Bhojpur,Kosi,Hill,Eastern,2059,2002,155578
Bhojpur,Kosi,Hill,Eastern,2060,2003,157199
Bhojpur,Kosi,Hill,Eastern,2061,2004,157088
Bhojpur,Kosi,Hill,Eastern,2062,2005,157454
Bhojpur,Kosi,Hill,Eastern,2063,2006,166050
Dhankuta,Kosi,Hill,Eastern,2047,1990,92306
Dhankuta,Kosi,Hill,Eastern,2050,1993,100688
Dhankuta,Kosi,Hill,Eastern,2056,1999,100922
Dhankuta,Kosi,Hill,Eastern,2057,2000,106721
Dhankuta,Kosi,Hill,Eastern,2058,2001,107051
Dhankuta,Kosi,Hill,Eastern,2059,2002,107159
Dhankuta,Kosi,Hill,Eastern,2060,2003,108608
Dhankuta,Kosi,Hill,Eastern,2061,2004,109812
Dhankuta,Kosi,Hill,Eastern,2062,2005,111754
Dhankuta,Kosi,Hill,Eastern,2063,2006,125727
Morang,Kosi,Terai,Eastern,2047,1990,403374
Morang,Kosi,Terai,Eastern,2050,1993,429891
Morang,Kosi,Terai,Eastern,2056,1999,480512
Morang,Kosi,Terai,Eastern,2057,2000,499308
